,name,mAP
0,"(0,)",68.74730479290976
1,"(1,)",68.69116740861597
2,"(2,)",68.84627041410191
3,"(3,)",68.46867834686934
4,"(4,)",68.7910602669713
5,"(5,)",68.71784485868955
6,"(6,)",68.67422431783993
7,"(7,)",68.82202721525361
8,"(8,)",68.69242042314741
9,"(9,)",68.65613996972826
10,"(10,)",68.79223847001657
11,"(11,)",68.74762702914849
12,"(12,)",68.77711502705395
13,"(13,)",68.80695117521097
14,"(14,)",68.74839390613926
15,"(15,)",68.78952478708939
16,"(16,)",68.74225265490381
17,"(17,)",68.82439641210084
18,"(18,)",68.77984337349515
19,"(19,)",68.77366057421568
20,"(20,)",68.72146295925162
21,"(21,)",68.75136577917004
22,"(22,)",68.74860125851214
23,"(23,)",68.80727127671831
24,"(24,)",68.75616464256386
25,"(25,)",68.51623724366108
26,"(26,)",68.63933122479744
27,"(27,)",68.78765894736894
28,"(28,)",68.54239489545729
29,"(29,)",68.75536176295958
30,"(30,)",68.54700004185389
31,"(31,)",68.77769620533671
32,"(32,)",68.7458661235328
33,"(33,)",68.78002112834352
34,"(34,)",68.74730106306528
35,"(35,)",68.74777257691696
36,"(36,)",68.84839353266383
37,"(37,)",68.81773624489995
38,"(38,)",68.65600168481816
39,"(39,)",68.72808250766987
40,"(40,)",68.56923909383579
41,"(41,)",68.80495576665118
42,"(42,)",68.64402430192563
43,"(43,)",68.59944228632251
44,"(44,)",68.54919408472843
45,"(45,)",68.37640457129964
46,"(46,)",68.71621776628538
47,"(47,)",68.56870370549387
48,"(48,)",68.77080820318045
49,"(49,)",68.85371235892126
50,"(50,)",68.65864910677104
51,"(51,)",68.79900092048499
52,"(52,)",68.79322423934677
53,"(53,)",68.81185427624192
54,"(54,)",68.79082664623854
55,"(55,)",68.73426779564984
56,"(56,)",68.71261592022802
57,"(57,)",68.83036481264037
58,"(58,)",68.5789598191388
59,"(59,)",68.7274441847946
60,"(60,)",68.74981859860026
61,"(61,)",68.79423255089951
62,"(62,)",68.73118676696322
63,"(63,)",68.76190743110253
64,"(64,)",68.75886190178147
65,"(65,)",68.74642366822428
66,"(66,)",68.69872365231853
67,"(67,)",68.77261730795676
68,"(68,)",68.76875101157619
69,"(69,)",68.79544243870018
70,"(70,)",68.75303709359838
71,"(71,)",68.6698318977356
72,"(72,)",68.7803897062336
73,"(73,)",68.73686974765859
74,"(74,)",68.77997726841986
75,"(0, 1)",68.72349735224795
76,"(0, 2)",68.7375514991384
77,"(0, 3)",68.5761216905295
78,"(0, 4)",68.71026988919266
79,"(0, 5)",68.74220295179822
80,"(0, 6)",68.61368947519637
81,"(0, 7)",68.73319212168231
82,"(0, 8)",68.68514139309056
83,"(0, 9)",68.74769014253351
84,"(0, 10)",68.70495578428108
85,"(0, 11)",68.69654257009515
86,"(0, 12)",68.70656079774055
87,"(0, 13)",68.72277924770145
88,"(0, 14)",68.68905917779433
89,"(0, 15)",68.66127753347756
90,"(0, 16)",68.7212468806014
91,"(0, 17)",68.75927789789003
92,"(0, 18)",68.72295563189255
93,"(0, 19)",68.7466133590202
94,"(0, 20)",68.72440871511259
95,"(0, 21)",68.66591445312065
96,"(0, 22)",68.7127391823262
97,"(0, 23)",68.72154090633933
98,"(0, 24)",68.72497292225114
99,"(0, 25)",68.53223853456466
100,"(0, 26)",68.79763794833072
101,"(0, 27)",68.74890689848657
102,"(0, 28)",68.4806847870966
103,"(0, 29)",68.76836041524497
104,"(0, 30)",68.66518917285076
105,"(0, 31)",68.73907848356045
106,"(0, 32)",68.65654322603312
107,"(0, 33)",68.73164685968027
108,"(0, 34)",68.6913114148658
109,"(0, 35)",68.71002368305906
110,"(0, 36)",68.7102107802098
111,"(0, 37)",68.75047208262752
112,"(0, 38)",68.57170825562753
113,"(0, 39)",68.67561036961102
114,"(0, 40)",68.50759672655438
115,"(0, 41)",68.73891020624038
116,"(0, 42)",68.61414420796338
117,"(0, 43)",68.62683576622564
118,"(0, 44)",68.5061530629584
119,"(0, 45)",68.33859282819435
120,"(0, 46)",68.61078430532478
121,"(0, 47)",68.63890544863365
122,"(0, 48)",68.72106439562418
123,"(0, 49)",68.70699326285228
124,"(0, 50)",68.7420745947725
125,"(0, 51)",68.77624935328282
126,"(0, 52)",68.75027116023618
127,"(0, 53)",68.71950363628306
128,"(0, 54)",68.74183646921183
129,"(0, 55)",68.75608692702346
130,"(0, 56)",68.64684279399302
131,"(0, 57)",68.77249250191674
132,"(0, 58)",68.56918651773591
133,"(0, 59)",68.72281298848193
134,"(0, 60)",68.69776931786711
135,"(0, 61)",68.74930603920599
136,"(0, 62)",68.69717950665542
137,"(0, 63)",68.77654948747053
138,"(0, 64)",68.73290850002255
139,"(0, 65)",68.7136554354143
140,"(0, 66)",68.71002852781882
141,"(0, 67)",68.69213419320823
142,"(0, 68)",68.72916753355788
143,"(0, 69)",68.7132217761554
144,"(0, 70)",68.67941603339334
145,"(0, 71)",68.74323711286469
146,"(0, 72)",68.69905189322083
147,"(0, 73)",68.66484591858513
148,"(0, 74)",68.74730479290976
149,"(1, 2)",68.69644718673571
150,"(1, 3)",68.4295567726242
151,"(1, 4)",68.74652419871609
152,"(1, 5)",68.68339138697915
153,"(1, 6)",68.70243827281944
154,"(1, 7)",68.6159800605819
155,"(1, 8)",68.53053888976926
156,"(1, 9)",68.648110086785
157,"(1, 10)",68.64095515042284
158,"(1, 11)",68.71339309506446
